nom_de_la_commune,code_postal,ligne_5
L ABERGEMENT DE VAREY,1640,
AMBERIEUX EN DOMBES,1330,
AMBLEON,1300,
AMBUTRIX,1500,
ANDERT ET CONDON,1300,
ARANC,1110,
ARBOYS EN BUGEY,1300,ST BOIS
ARBIGNY,1190,
ARMIX,1510,
ATTIGNAT,1340,
BAGE LE CHATEL,1380,
VALSERHONE,1200,LANCRANS
VILLE DU PONT,25650,
VALROMEY SUR SERAN,1260,VIEU
VILLERS GRELOT,25640,
BENONCES,1470,
SOLAURE EN DIOIS,26150,AIX EN DIOIS
BETTANT,1500,
ALEYRAC,26770,
BILLIAT,1200,
ANDANCETTE,26140,
BLYES,1150,
AOUSTE SUR SYE,26400,
BOISSEY,1380,
ARPAVON,26110,
BRESSOLLES,1360,LA LECHERE
AUTICHAMP,26400,
BUELLAS,1310,CORGENON
BARCELONNE,26120,
LA BURBANCHE,1510,
BARRET DE LIOURE,26570,
CEIGNES,1430,
BARSAC,26150,
CHALAMONT,1320,
BATHERNAY,26260,
CHAMPDOR CORCELLES,1110,CHAMPDOR
LA BAUME DE TRANSIT,26790,
CHAMPDOR CORCELLES,1110,CORCELLES
BEAUMONT MONTEUX,26600,
NIVIGNE ET SURAN,1250,GERMAGNAT
BEAURIERES,26310,
CHAZEY BONS,1300,
BEZAUDUN SUR BINE,26460,
CHAZEY SUR AIN,1150,
BOURDEAUX,26460,
CHEVILLARD,1430,
BOUVIERES,26460,
CHEVROUX,1190,
CHABEUIL,26120,PARLANGES
COLLONGES,1550,
CHALANCON,26470,
CONAND,1230,
CHARENS,26310,
CROTTET,1290,
CHATEAUNEUF DE BORDETTE,26110,
CURTAFOND,1310,
CHATEAUNEUF DE GALAURE,26330,
DAGNEUX,1120,
CHATILLON EN DIOIS,26410,TRESCHENU CREYERS
DOUVRES,1500,
LA CHAUDIERE,26340,
ECHALLON,1130,
CLANSAYES,26130,
FARAMANS,1800,
CLIOUSCLAT,26270,
VILLARS LES BLAMONT,25310,
FLAXIEU,1350,
COLONZELLE,26230,
LES VILLEDIEU,25240,
GENOUILLEUX,1090,
CREST,26400,
VILLERS BUZON,25170,
HAUTECOURT ROMANECHE,1250,
CURNIER,26110,
VILLERS LA COMBE,25510,
HAUT VALROMEY,1260,LE GRAND ABERGEMENT
DIE,26150,
VILLERS SOUS CHALAMONT,25270,
HAUT VALROMEY,1260,LE PETIT ABERGEMENT
EROME,26600,
VOUJEAUCOURT,25420,
LABALME,1450,
ESPENEL,26340,
ALLAN,26780,
LAVOURS,1350,
EURRE,26400,
ARNAYON,26470,
LEYMENT,1150,
EYGLUY ESCOULIN,26400,
AULAN,26570,
SURJOUX LHOPITAL,1420,LHOPITAL
EYROLES,26110,
BARNAVE,26310,
MAGNIEU,1300,ST CHAMP
VAL MARAVEL,26310,LE PILHON
LA BATIE DES FONDS,26310,
MANTENAY MONTLIN,1560,
LES GRANGES GONTARDES,26290,
BOUCHET,26790,
MARBOZ,1851,
GRIGNAN,26230,
BOULC,26410,
MIJOUX,1410,
LAPEYROUSE MORNAY,26210,
BOULC,26410,RAVEL ET FERRIERS
MIRIBEL,1700,LES ECHETS
LARNAGE,26600,
BOURG LES VALENCE,26500,
LE MONTELLIER,1800,
MANAS,26160,
CHABRILLAN,26400,
MONTLUEL,1120,
MARSANNE,26740,
LE CHAFFAL,26190,
MONTMERLE SUR SAONE,1090,
MONTCLAR SUR GERVANNE,26400,
CHAMALOC,26150,
MONTREAL LA CLUSE,1460,
MONTELIMAR,26200,
CHAMARET,26230,
MURS ET GELIGNIEUX,1300,
MONTGUERS,26170,
CHANOS CURSON,26600,
ORNEX,1210,
MONTJOYER,26230,
LA CHARCE,26470,
